time,data.instant.details.air_pressure_at_sea_level,data.instant.details.air_temperature,data.instant.details.cloud_area_fraction,data.instant.details.relative_humidity,data.instant.details.wind_from_direction,data.instant.details.wind_speed,data.next_12_hours.summary.symbol_code,data.next_1_hours.summary.symbol_code,data.next_1_hours.details.precipitation_amount,data.next_6_hours.summary.symbol_code,data.next_6_hours.details.precipitation_amount
2025-03-05T10:00:00Z,990.2,3.0,100.0,89.5,237.6,6.5,rain,rain,0.3,rain,3.3
2025-03-05T11:00:00Z,990.6,3.5,100.0,90.4,226.1,4.9,rain,rain,0.3,rain,4.1
2025-03-05T12:00:00Z,990.5,4.0,100.0,89.3,232.6,4.3,heavyrain,rain,0.4,heavyrain,6.2
2025-03-05T13:00:00Z,990.5,3.5,100.0,89.8,234.2,4.9,heavyrain,rain,0.5,heavyrain,8.3
2025-03-05T14:00:00Z,990.4,3.3,100.0,90.4,232.3,4.2,heavyrain,rain,0.6,heavyrain,11.2
2025-03-05T15:00:00Z,990.6,3.1,100.0,91.8,215.3,3.2,heavyrain,rain,0.8,heavyrain,12.6
2025-03-05T16:00:00Z,990.1,3.0,100.0,92.1,206.6,3.6,rain,heavyrain,1.3,heavyrain,13.6
2025-03-05T17:00:00Z,990.0,2.9,100.0,93.0,198.4,3.4,rain,heavyrain,2.4,heavyrain,15.0
2025-03-05T18:00:00Z,989.7,2.6,100.0,94.1,193.9,3.3,lightrain,heavyrain,2.4,heavyrain,13.4
2025-03-05T19:00:00Z,988.9,2.3,100.0,94.4,214.9,1.5,lightrain,heavyrain,3.2,heavyrain,11.6
2025-03-05T20:00:00Z,988.4,2.4,100.0,97.9,78.4,1.4,lightrain,heavyrain,2.5,heavyrain,8.2
2025-03-05T21:00:00Z,987.5,2.7,100.0,94.5,221.1,2.3,lightrain,heavyrain,2.4,heavyrain,5.7
2025-03-05T22:00:00Z,987.5,4.6,100.0,92.5,206.2,5.9,lightrain,heavyrain,2.3,rain,3.4
2025-03-05T23:00:00Z,988.1,5.3,100.0,92.0,204.6,6.7,lightrain,rain,0.9,rain,0.9
2025-03-06T00:00:00Z,987.8,5.8,100.0,91.3,195.2,6.6,cloudy,lightrain,0.1,cloudy,0.0
2025-03-06T01:00:00Z,987.1,6.5,100.0,89.2,215.8,3.6,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T02:00:00Z,986.3,7.4,100.0,82.4,265.3,5.0,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T03:00:00Z,986.1,9.0,100.0,69.0,265.4,10.3,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T04:00:00Z,986.7,9.1,100.0,61.4,265.5,14.7,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T05:00:00Z,987.5,8.8,100.0,63.9,269.7,13.3,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T06:00:00Z,988.1,8.2,100.0,66.2,270.9,13.1,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T07:00:00Z,988.8,7.9,100.0,62.3,272.7,14.3,cloudy,partlycloudy_day,0.0,cloudy,0.0
2025-03-06T08:00:00Z,990.3,7.9,100.0,63.5,269.9,13.1,cloudy,partlycloudy_day,0.0,cloudy,0.0
2025-03-06T09:00:00Z,992.3,7.9,99.8,63.7,263.7,10.7,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T10:00:00Z,995.5,7.8,99.7,66.1,245.3,9.5,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T11:00:00Z,995.8,7.6,99.7,66.1,250.8,10.8,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T12:00:00Z,996.3,7.6,99.7,65.5,262.0,11.5,cloudy,cloudy,0.0,partlycloudy_day,0.0
2025-03-06T13:00:00Z,999.3,7.3,99.9,67.4,260.2,9.6,cloudy,cloudy,0.0,partlycloudy_day,0.0
2025-03-06T14:00:00Z,1002.5,7.0,99.8,70.0,255.8,7.3,lightrain,cloudy,0.0,partlycloudy_night,0.0
2025-03-06T15:00:00Z,1004.2,6.6,97.0,70.1,251.6,6.5,lightrain,cloudy,0.0,partlycloudy_night,0.0
2025-03-06T16:00:00Z,1005.4,5.9,74.7,75.5,225.9,3.7,lightrain,partlycloudy_day,0.0,cloudy,0.0
2025-03-06T17:00:00Z,1005.0,5.1,49.9,81.5,251.1,1.8,lightrain,partlycloudy_night,0.0,cloudy,0.0
2025-03-06T18:00:00Z,1004.9,4.2,76.3,85.7,249.3,2.0,cloudy,partlycloudy_night,0.0,cloudy,0.0
2025-03-06T19:00:00Z,1005.0,4.1,94.1,85.9,231.9,2.7,cloudy,cloudy,0.0,cloudy,0.0
2025-03-06T20:00:00Z,1004.9,3.9,99.8,87.0,210.4,2.9,lightrain,cloudy,0.0,rain,1.2
2025-03-06T21:00:00Z,1005.5,3.6,100.0,87.6,203.7,3.2,lightrain,cloudy,0.0,rain,1.3
2025-03-06T22:00:00Z,1005.9,3.6,100.0,86.6,204.5,3.2,lightrain,cloudy,0.0,rain,1.3
2025-03-06T23:00:00Z,1006.2,3.8,100.0,91.2,203.5,2.6,lightrain,cloudy,0.0,rain,1.0
2025-03-07T00:00:00Z,1006.0,3.7,100.0,92.6,196.9,1.9,cloudy,cloudy,0.3,cloudy,0.0
2025-03-07T01:00:00Z,1005.3,3.6,100.0,92.0,104.3,1.6,cloudy,cloudy,0.0,cloudy,0.0
2025-03-07T02:00:00Z,1004.8,3.5,100.0,95.0,39.9,1.5,cloudy,cloudy,0.1,cloudy,0.0
2025-03-07T03:00:00Z,1003.8,3.1,72.0,97.7,35.0,2.0,cloudy,partlycloudy_night,0.0,cloudy,0.0
2025-03-07T04:00:00Z,1003.3,2.5,59.0,98.5,30.2,1.6,cloudy,partlycloudy_night,0.0,cloudy,0.0
2025-03-07T05:00:00Z,1002.8,2.3,88.5,98.1,323.6,0.7,cloudy,cloudy,0.0,cloudy,0.0
2025-03-07T06:00:00Z,1002.4,2.2,99.8,95.2,287.3,0.9,cloudy,cloudy,0.0,cloudy,0.0
2025-03-07T07:00:00Z,1002.3,2.5,100.0,94.5,92.6,0.7,,cloudy,0.0,cloudy,0.0
2025-03-07T08:00:00Z,1002.2,3.3,100.0,91.3,135.7,0.7,,cloudy,0.0,cloudy,0.0
2025-03-07T09:00:00Z,1002.0,4.3,100.0,89.2,105.8,0.9,,cloudy,0.0,cloudy,0.0
2025-03-07T10:00:00Z,1002.0,5.5,100.0,81.6,181.4,1.0,,cloudy,0.0,cloudy,0.0
2025-03-07T11:00:00Z,1002.0,7.5,100.0,65.8,208.6,1.6,,partlycloudy_day,0.0,cloudy,0.0
2025-03-07T12:00:00Z,1002.1,9.2,100.0,61.9,204.1,3.2,cloudy,cloudy,0.0,cloudy,0.0
2025-03-07T13:00:00Z,1003.2,9.7,100.0,63.0,229.4,3.1,,cloudy,0.0,,
2025-03-07T14:00:00Z,1004.6,9.2,100.0,70.0,220.3,1.3,,cloudy,0.0,,
2025-03-07T15:00:00Z,1005.8,8.4,100.0,74.8,290.5,2.9,,cloudy,0.0,,
2025-03-07T16:00:00Z,1006.4,7.5,100.0,62.9,255.6,3.8,,cloudy,0.0,,
2025-03-07T17:00:00Z,1007.3,6.1,100.0,71.1,223.6,2.0,,partlycloudy_night,0.0,,
2025-03-07T18:00:00Z,1007.8,5.2,100.0,79.1,221.5,2.7,lightrain,,,cloudy,0.0
2025-03-08T00:00:00Z,1011.2,5.3,82.4,85.9,212.8,4.0,lightrain,,,rainshowers_night,1.0
2025-03-08T06:00:00Z,1013.6,4.0,99.2,93.5,199.9,4.1,lightrain,,,cloudy,0.0
2025-03-08T12:00:00Z,1016.1,7.6,90.6,65.2,258.2,4.2,lightrain,,,rain,1.0
2025-03-08T18:00:00Z,1017.3,4.9,98.8,90.1,253.5,2.2,cloudy,,,cloudy,0.0
2025-03-09T00:00:00Z,1018.2,3.0,100.0,90.3,205.3,1.5,cloudy,,,cloudy,0.0
2025-03-09T06:00:00Z,1017.2,2.2,100.0,91.6,204.0,1.4,cloudy,,,cloudy,0.0
2025-03-09T12:00:00Z,1016.6,4.8,100.0,76.4,26.0,1.6,cloudy,,,cloudy,0.0
2025-03-09T18:00:00Z,1013.9,3.0,100.0,84.0,34.5,2.0,cloudy,,,cloudy,0.0
2025-03-10T00:00:00Z,1012.9,1.9,100.0,87.9,51.8,2.1,cloudy,,,cloudy,0.0
2025-03-10T06:00:00Z,1011.2,1.3,100.0,88.3,28.0,1.9,cloudy,,,cloudy,0.0
2025-03-10T12:00:00Z,1010.4,3.1,100.0,70.7,27.7,2.1,partlycloudy_day,,,cloudy,0.0
2025-03-10T18:00:00Z,1007.8,1.5,95.3,78.4,33.2,2.3,partlycloudy_day,,,cloudy,0.0
2025-03-11T00:00:00Z,1006.3,0.6,18.0,82.8,204.9,1.9,partlycloudy_day,,,fair_night,0.0
2025-03-11T06:00:00Z,1008.3,-0.9,68.0,83.9,206.3,1.9,cloudy,,,partlycloudy_day,0.0
2025-03-11T12:00:00Z,1006.4,2.7,99.2,66.2,21.6,1.9,partlycloudy_day,,,cloudy,0.0
2025-03-11T18:00:00Z,1005.5,1.0,95.7,78.5,288.6,2.5,partlycloudy_day,,,cloudy,0.0
2025-03-12T00:00:00Z,1004.1,0.5,32.8,79.1,203.8,2.1,partlycloudy_day,,,fair_night,0.0
2025-03-12T06:00:00Z,1006.3,-1.3,52.0,80.2,203.2,2.6,lightrainshowers_day,,,partlycloudy_day,0.0
2025-03-12T12:00:00Z,1006.4,3.0,62.5,59.1,289.2,3.2,sleet,,,rainshowers_day,3.7
2025-03-12T18:00:00Z,1006.2,1.4,100.0,84.4,255.6,3.5,sleet,,,sleet,3.7
2025-03-13T00:00:00Z,1002.1,1.5,96.9,83.3,203.9,3.4,lightsleet,,,sleet,3.2
2025-03-13T06:00:00Z,1004.4,1.9,100.0,82.9,211.3,3.3,cloudy,,,cloudy,0.0
2025-03-13T12:00:00Z,1004.1,3.4,100.0,73.1,246.7,3.5,lightrain,,,cloudy,0.0
2025-03-13T18:00:00Z,1002.9,2.3,100.0,82.3,245.7,3.5,sleet,,,rain,3.1
2025-03-14T00:00:00Z,1002.8,1.9,99.2,84.0,237.5,3.6,lightsleet,,,sleet,2.9
2025-03-14T06:00:00Z,1004.3,1.8,100.0,85.2,203.1,3.1,cloudy,,,cloudy,0.0
2025-03-14T12:00:00Z,1006.9,3.5,100.0,71.9,292.9,3.8,lightrain,,,cloudy,0.0
2025-03-14T18:00:00Z,1008.7,2.1,99.2,79.7,243.3,3.7,lightrain,,,rain,2.5
2025-03-15T00:00:00Z,1010.2,1.5,99.2,83.4,203.3,3.5,,,,cloudy,0.0
2025-03-15T06:00:00Z,1011.5,1.5,96.9,78.1,200.4,3.8,,,,,
